beat_id,rank,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B032,1,pexels,9733949,mountain valley river aerial,0.15565962061285973,0.18565962061285973,4096,2160,16.0,ROMAN ODINTSOV,https://www.pexels.com/video/aerial-footage-of-a-valley-9733949/,B032_PEXELS_9733949.mp4,downloaded,
B032,2,pixabay,367684,winding river sunrise aerial,0.14419330301880837,0.18179330301880836,3840,2160,12.0,Hoangbuifilms,https://pixabay.com/videos/id-367684/,B032_PIXABAY_367684.mp4,downloaded,
B033,1,pixabay,185092,hands reading Bible outdoors,0.13099108938872814,0.17099108938872815,1920,1080,19.0,stefaniejockschat,https://pixabay.com/videos/id-185092/,B033_PIXABAY_185092.mp4,downloaded,
B033,2,pixabay,111279,Bible pages morning light,0.12135255053639413,0.16135255053639413,3840,2160,21.0,AttilaPergel,https://pixabay.com/videos/id-111279/,B033_PIXABAY_111279.mp4,downloaded,
B034,1,pexels,5931838,still water forest dawn,0.13560149163007737,0.16560149163007737,3840,2160,31.0,Matthias Groeneveld,https://www.pexels.com/video/view-of-the-sky-from-outdoors-5931838/,B034_PEXELS_5931838.mp4,downloaded,
B034,2,pexels,14189699,still water forest dawn,0.134732603803277,0.164732603803277,3840,2160,19.0,binary Ego,https://www.pexels.com/video/concrete-posts-in-the-lake-14189699/,B034_PEXELS_14189699.mp4,downloaded,
B035,1,pexels,17627607,wet leaves first light,0.14800017219781875,0.17800017219781875,1920,1080,23.0,Ruslan Sikunov,https://www.pexels.com/video/a-close-up-of-green-leaves-in-the-rain-17627607/,B035_PEXELS_17627607.mp4,downloaded,
B035,2,pixabay,122873,raindrops river plants,0.13637088280916215,0.17637088280916216,1920,1080,55.0,adege,https://pixabay.com/videos/id-122873/,B035_PIXABAY_122873.mp4,downloaded,
B036,1,pixabay,111939,bridge over stream dawn,0.14561011210083963,0.18561011210083964,3840,2160,38.0,KIMDAEJEUNG,https://pixabay.com/videos/id-111939/,B036_PIXABAY_111939.mp4,downloaded,
B036,2,pexels,31807934,forest trail sunrise,0.1443947022408247,0.1743947022408247,3840,2160,21.0,Matthias Groeneveld,https://www.pexels.com/video/serene-sunrise-through-forest-trees-31807934/,B036_PEXELS_31807934.mp4,downloaded,
B037,1,pexels,11675458,golden river valley aerial,0.15828442439436913,0.18828442439436913,3840,2160,25.0,Sergei Skrynnik,https://www.pexels.com/video/aerial-view-of-a-river-in-the-mountains-in-altai-11675458/,B037_PEXELS_11675458.mp4,downloaded,
B037,2,pexels,3712263,mountain river morning drone,0.13258021180331708,0.16258021180331708,1920,1080,76.0,Tetsuaki Baba,https://www.pexels.com/video/drone-footage-of-the-sun-and-the-river-3712263/,B037_PEXELS_3712263.mp4,downloaded,
B038,1,pexels,35214754,stream leaves morning,0.1317456328868866,0.1617456328868866,3840,2160,21.0,Acres of Film,https://www.pexels.com/video/tranquil-autumn-streams-with-fallen-leaves-35214754/,B038_PEXELS_35214754.mp4,downloaded,
B038,2,pixabay,189813,gentle forest stream morning,0.1422048719227314,0.1472048719227314,3840,2160,23.0,Matthias_Groeneveld,https://pixabay.com/videos/id-189813/,B038_PIXABAY_189813.mp4,downloaded,
B039,1,pexels,2878082,mountain river sunrise,0.1329825633764267,0.1279825633764267,3840,2160,30.0,K,https://www.pexels.com/video/aerial-view-of-a-beautiful-landscape-with-reflection-of-the-sun-on-the-river-2878082/,B039_PEXELS_2878082.mp4,downloaded,
B039,2,pexels,3145223,forest valley morning wide,0.1332687744498253,0.09326877444982529,3840,2160,74.0,Tom Fisk,https://www.pexels.com/video/rice-field-terraces-on-mountain-valleys-and-plateaus-3145223/,B039_PEXELS_3145223.mp4,downloaded,
B040,1,pexels,4729553,calm river pool morning,0.1371907603442669,0.1671907603442669,1920,1080,18.0,Elena Stepanova,https://www.pexels.com/video/a-reflection-on-the-flowing-water-4729553/,B040_PEXELS_4729553.mp4,downloaded,
