beat_id,rank,origin,asset_id,provider,video_id,query,semantic_score,final_score,width,height,duration,contributor,page_url,filename,status,error
B056,1,online,pexels:6093375,pexels,6093375,forest river aerial warm sunrise,0.13826776571571828,0.13326776571571827,3840,2160,29.0,K,https://www.pexels.com/video/aerial-footage-of-trees-beside-a-river-6093375/,B056_PEXELS_6093375.mp4,downloaded,
B056,2,online,pexels:2711145,pexels,2711145,river valley drone morning,0.13048105515539646,0.09048105515539645,3840,2160,16.0,K,https://www.pexels.com/video/drone-footage-of-the-thick-fog-on-a-mountain-forest-2711145/,B056_PEXELS_2711145.mp4,downloaded,
B057,1,online,pexels:29027913,pexels,29027913,Bible beside river sunrise,0.13535488638281823,0.16295488638281821,3840,2160,12.0,Dudubangbang Travel,https://www.pexels.com/video/tranquil-aerial-view-of-a-vibrant-sunset-over-river-29027913/,B057_PEXELS_29027913.mp4,downloaded,
B057,2,online,pexels:8541467,pexels,8541467,Bible beside river sunrise,0.17835762161761523,0.06835762161761522,3840,2160,73.0,Tom Fisk,https://www.pexels.com/video/drone-footage-of-a-river-8541467/,B057_PEXELS_8541467.mp4,downloaded,
B058,1,online,pexels:5563046,pexels,5563046,treetops mist aerial,0.17353129290044308,0.20353129290044308,3840,2160,16.0,Yaroslav Shuraev,https://www.pexels.com/video/drone-footage-of-the-forest-during-autumn-5563046/,B058_PEXELS_5563046.mp4,downloaded,
B058,2,online,pexels:13933588,pexels,13933588,treetops mist aerial,0.1671866448223591,0.1971866448223591,3840,2160,22.0,Max Parada,https://www.pexels.com/video/clouds-over-hills-on-sea-shore-13933588/,B058_PEXELS_13933588.mp4,downloaded,
B059,1,online,pexels:5860510,pexels,5860510,back view forest warm sunrise,0.14096648626526195,0.16936648626526193,2560,1440,13.0,Martina Tomšič,https://www.pexels.com/video/people-walking-at-the-forest-5860510/,B059_PEXELS_5860510.mp4,downloaded,
B059,2,online,pexels:36657222,pexels,36657222,back view forest warm sunrise,0.13369749951362608,0.05629749951362606,3840,2160,12.0,K,https://www.pexels.com/video/woman-hiking-through-scenic-autumn-forest-trail-36657222/,B059_PEXELS_36657222.mp4,downloaded,
B060,1,online,pexels:9573577,pexels,9573577,empty hospital hallway dawn,0.16544009387493133,0.19544009387493133,4096,2160,27.0,Tima Miroshnichenko,https://www.pexels.com/video/scientists-talking-in-a-hallway-9573577/,B060_PEXELS_9573577.mp4,downloaded,
B060,2,online,pexels:9573575,pexels,9573575,quiet clinic corridor morning,0.15630674600601197,0.18630674600601196,4096,2160,29.0,Tima Miroshnichenko,https://www.pexels.com/video/people-nodding-upon-seeing-each-other-on-a-corridor-9573575/,B060_PEXELS_9573575.mp4,downloaded,
